"Collection_id","NomorBarcode","Title","Subject"
"13586","143013212","Medical - Surgical Nursing : Assessment and Management of Clinical Problems ","SURGICAL NURSING"
"233650","230118212","Brunner's and Suddarths Textbook of Medical-Surgical Nursing / Janice L. Hinkle; Kerry H. Cheever","SURGICAL NURSING"
"274160","119122111","Kamus Indonesia - Inggris :  An Indonesian - English dictionary / John M. Echols; Hassan Shadily","Bahasa Indonesia - kamus - Inggeris"
"264917","112392211","Kamus Inggris - Indonesia / John M. Echols; Hassan Shadily","INDONESIAN LANGUAGE-DICTIONARIES-ENGLISH"
"287455","239024111","Perahu Kertas / Dee Lestari","FOLKLORE"
"272873","049122211","Alaya :  Cerita Dari Negeri Atap Dunia / Daniel Mahendra","NOVEL-FICTION"
"247305","291319111","Sherlock :  Koleksi Kasus 1 Holmes / Sir Arthur Conan Doyle","FICTION"
"79860","036014111","Blind Eye ","AMERICAN FICTION"
"281604","157323211","Black Showman dan Pembunuhan di Kota Tak Bernama :  (Black Showman To Namonaki Machi No Satsujin) / Keigo Higashino; Penerjemah: Milka Ivana","FICTION"
"54571","270989112","Tiger Lilies : An American childhood ","fiksi amerika"
"129553","008002911","Metode etnografi / James P. Spradley","ETNOGRAFI"
"213253","1080092211","Fonologi : bahasa Indonesia tinjauan deskriptif sistem bunyi bahasa Indonesia / Masnur Muslich","FONOLOGI"
"263165","0004202211","Metamorfosis :  Dan Cerita Lainnya / Franz Kafka","FIKSI INDONESIA"
"218615","0591112211","Saman / Ayu Utami","fIKSI INDONESIA"
"119037","0229121711","Pengantar Hukum Internasional / Mochtar Kusumaatmadja","Hukum Internasional"
"219532","0001142211","Sosiolinguistik / Sumarsono","SOSIOLINGUISTIK"
"214790","0708092211","Kapita selekta sosiolinguistik / Abd Syukur Ibrahim","SOSIOLINGUISTIK"
"213246","0012142211","Fonetik / Marsono","FONETIK"
"281559","0356231211","Fonologi Bahasa Indonesia : Tinjauan Deskriptif Sistem Bunyi Bahasa Indonesia :  Suplemen Penggunaan Ejaan dalam Naskah Dinas Persoalan di Sekitar Bentuk Ucapan Baku Bahasa Indonesia / Masnur Muslich","FONOLOGI"
"217728","0504162211","Perawan remaja dalam cengkeraman militer / Pramoedya Ananta Toer","Indonesia"
"218557","0172LMA08","Roro mendut / Y.B. Mangunwijaya",""
"23141","015007211","Kaidah-kaidah hukum perdagangan internasional (Perdagangan multilateral) versi organisasi perdagangan dunia (World Trade Organization = WTO)","FOREIGN TRADE REGULATION"
